Date,Name,Year,Letterboxd URI
2023-11-19,mid90s,2018,https://boxd.it/fxIa
2023-11-19,On the Silver Globe,1988,https://boxd.it/1sAM
2023-11-28,Phantom of the Paradise,1974,https://boxd.it/1s34
2023-11-28,"Lost, Lost, Lost",1976,https://boxd.it/4I1O
2023-12-06,Batman: Under the Red Hood,2010,https://boxd.it/11eE
2023-12-10,Kingdom of Heaven,2005,https://boxd.it/28Gs
2023-12-10,Grease,1978,https://boxd.it/29YW
2023-12-11,Wild Strawberries,1957,https://boxd.it/29ZU
2023-12-11,Pink Flamingos,1972,https://boxd.it/29NO
2023-12-11,Breathless,1960,https://boxd.it/2aIK
2023-12-11,Don't Look Now... We're Being Shot At!,1966,https://boxd.it/20oq
2023-12-11,Love,2015,https://boxd.it/9brE
2023-12-11,Climax,2018,https://boxd.it/ikvo
2023-12-11,Persona,1966,https://boxd.it/29B4
2023-12-12,Winter Light,1963,https://boxd.it/1nrU
2023-12-13,The Face of Another,1966,https://boxd.it/1nso
2023-12-15,Andrei Rublev,1966,https://boxd.it/29lg
2023-12-19,The Tree and the Cat,1983,https://boxd.it/fC7S
2023-12-20,A Special Day,1977,https://boxd.it/Xqc
2023-12-24,Shin Godzilla,2016,https://boxd.it/a9lm
2023-12-25,Priscilla,2023,https://boxd.it/Cz3k
2024-01-05,Triangle,2009,https://boxd.it/1tQG
2024-01-18,How to Have Sex,2023,https://boxd.it/EFIM
2024-01-22,Robot Dreams,2023,https://boxd.it/vBZm
2024-01-24,May December,2023,https://boxd.it/vEE2
2024-01-25,Le Notti Bianche,1957,https://boxd.it/V0G
2024-01-28,PLUTO,2023,https://boxd.it/Jo62
2024-02-08,All of Us Strangers,2023,https://boxd.it/Bz3C
2024-02-09,Métisse,1993,https://boxd.it/Kyi
2024-02-10,Les Misérables,2012,https://boxd.it/2TT4
2024-02-10,Coffee and Cigarettes,2003,https://boxd.it/29nc
2024-02-22,"Toonces, the Cat Who Could Drive a Car",1992,https://boxd.it/bVBu
2024-02-27,The Fire Within,1963,https://boxd.it/26AM
2024-02-28,Mirror,1975,https://boxd.it/28Q8
2024-03-06,Dark City,1998,https://boxd.it/26uk
2024-03-13,Ashes and Diamonds,1958,https://boxd.it/23q0
2024-03-20,Primal Fear,1996,https://boxd.it/28ws
2024-03-26,A Short Film About Killing,1988,https://boxd.it/1VtK
2024-03-30,Dangerous Men,2022,https://boxd.it/CWVO
2024-03-31,All About Lily Chou-Chou,2001,https://boxd.it/1JP0
2024-04-03,The Mother and the Whore,1973,https://boxd.it/HQe
2024-04-03,Civil War,2024,https://boxd.it/z1jW
2024-04-05,Close,2022,https://boxd.it/y4qa
2024-04-20,Paths of Glory,1957,https://boxd.it/29b6
2024-04-20,The Hourglass Sanatorium,1973,https://boxd.it/OUW
2024-04-21,"Paris, Texas",1984,https://boxd.it/29Ts
2024-04-21,Wings of Desire,1987,https://boxd.it/2b26
2024-05-19,Baby Reindeer,2024,https://boxd.it/MwSa
2024-05-25,There's Still Tomorrow,2023,https://boxd.it/COrw
2024-05-30,The Hateful Eight,2015,https://boxd.it/8gw8
2024-06-20,Hidden Figures,2016,https://boxd.it/dgS4
2024-06-21,The Peanut Butter Falcon,2019,https://boxd.it/gzu2
2024-06-22,House of Hummingbird,2018,https://boxd.it/jZ8C
2024-06-23,Cinema Paradiso,1988,https://boxd.it/1UlA
2024-06-27,50/50,2011,https://boxd.it/10Tw
2024-06-29,Call Me by Your Name,2017,https://boxd.it/dYmm
2024-06-30,Kinds of Kindness,2024,https://boxd.it/CWPw
2024-07-02,A Quiet Place,2018,https://boxd.it/fVJQ
2024-07-04,Christine,1983,https://boxd.it/1ZRQ
2024-07-12,Bones and All,2022,https://boxd.it/tLd4
2024-07-14,End of Watch,2012,https://boxd.it/2F5O
2024-07-16,Regular Lovers,2005,https://boxd.it/QhM
2024-07-17,A Cure for Wellness,2016,https://boxd.it/bkQW
2024-07-25,Atonement,2007,https://boxd.it/24ui
2024-08-14,Tatami,2023,https://boxd.it/F0qE
2024-08-17,Mind Game,2004,https://boxd.it/1Bv2
2024-08-31,The Big Short,2015,https://boxd.it/ajZw
2024-09-04,The Wages of Fear,1953,https://boxd.it/2aSK
2024-09-14,Onibaba,1964,https://boxd.it/252a
2024-09-16,Rebel Without a Cause,1955,https://boxd.it/2aQu
2024-09-23,Being John Malkovich,1999,https://boxd.it/2ahu
2024-09-24,Rain Man,1988,https://boxd.it/2avw
2024-09-25,Barry Lyndon,1975,https://boxd.it/25A2
2024-09-27,The Taste of Things,2023,https://boxd.it/Arke
2024-10-05,Pulse,2001,https://boxd.it/1s3y
2024-10-05,The Penguin,2024,https://boxd.it/QkIU
2024-10-05,Don't Breathe,2016,https://boxd.it/9yzw
2024-10-06,Rear Window,1954,https://boxd.it/2a6Q
2024-10-11,Stalker,1979,https://boxd.it/28PO
2024-10-14,Mulholland Drive,2001,https://boxd.it/297o
2024-10-14,The Wild Robot,2024,https://boxd.it/IWFy
2024-10-14,Frankenhooker,1990,https://boxd.it/1saE
2024-10-20,Smile 2,2024,https://boxd.it/FDA4
2024-10-22,What We Do in the Shadows,2014,https://boxd.it/7eQy
2024-10-24,13: Game of Death,2006,https://boxd.it/1Qbw
2024-10-26,Night on Earth,1991,https://boxd.it/2ayq
2024-10-27,The Butterfly Effect,2004,https://boxd.it/27M0
2024-10-28,A Single Man,2009,https://boxd.it/1dx4
2024-10-28,Lady Snowblood,1973,https://boxd.it/26Fi
2024-11-02,Fallen Leaves,2023,https://boxd.it/Bgew
